nces_id,name,state,enrollment
0507990,HOXIE SCHOOL DISTRICT,AR,860
0508040,WEST MEMPHIS SCHOOL DISTRICT,AR,4511
0508130,HUNTSVILLE SCHOOL DISTRICT,AR,2287
0508240,JASPER SCHOOL DISTRICT,AR,884
0508280,JONESBORO SCHOOL DISTRICT,AR,6762
0508340,JUNCTION CITY SCHOOL DISTRICT,AR,673
0508400,RIVERVIEW SCHOOL DISTRICT,AR,1120
0508490,KIRBY SCHOOL DISTRICT,AR,392
0508610,LAKE HAMILTON SCHOOL DISTRICT,AR,3945
0508640,LAKESIDE SCHOOL DISTRICT (Chicot),AR,842
0508670,LAKESIDE SCHOOL DISTRICT (Garland),AR,3538
0508700,LAMAR SCHOOL DISTRICT,AR,1254
0508730,LAVACA SCHOOL DISTRICT,AR,801
0508940,LINCOLN SCHOOL DISTRICT,AR,1095
0509000,LITTLE ROCK SCHOOL DISTRICT,AR,21086
0509060,LONOKE SCHOOL DISTRICT,AR,1524
0509150,MAGAZINE SCHOOL DISTRICT,AR,524
0509190,MAGNET COVE SCHOOL DISTRICT,AR,675
0509240,MALVERN SCHOOL DISTRICT,AR,1876
0509270,MAMMOTH SPRING SCHOOL DISTRICT,AR,472
0509330,MANSFIELD SCHOOL DISTRICT,AR,751
0509360,LEE COUNTY SCHOOL DISTRICT,AR,698
0509390,MARION SCHOOL DISTRICT,AR,3888
0509420,MARKED TREE SCHOOL DISTRICT,AR,537
0509480,SEARCY COUNTY SCHOOL DISTRICT,AR,807
0509510,MARVELL ELAINE SCHOOL DISTRICT,AR,220
0509540,MAYFLOWER SCHOOL DISTRICT,AR,1015
0509570,MAYNARD SCHOOL DISTRICT,AR,594
0509600,MCCRORY SCHOOL DISTRICT,AR,581
0509630,MCGEHEE SCHOOL DISTRICT,AR,1121
0509720,MELBOURNE SCHOOL DISTRICT,AR,839
0509750,MENA SCHOOL DISTRICT,AR,1703
0509780,MINERAL SPRINGS SCHOOL DISTRICT,AR,401
0509840,MONTICELLO SCHOOL DISTRICT,AR,1602
0509990,MOUNT IDA SCHOOL DISTRICT,AR,420
0510080,MOUNT VERNON ENOLA SCHOOL DISTRICT,AR,527
0510170,MOUNTAIN PINE SCHOOL DISTRICT,AR,605
0510200,MOUNTAIN VIEW SCHOOL DISTRICT,AR,1569
0510260,MOUNTAINBURG SCHOOL DISTRICT,AR,655
0510290,MULBERRY PLEASANT VIEW BI COUNTY SCHOOL DISTRICT,AR,442
0510320,SOUTH PIKE COUNTY SCHOOL DISTRICT,AR,696
0510380,NASHVILLE SCHOOL DISTRICT,AR,1786
0510410,NEMO VISTA SCHOOL DISTRICT,AR,513
